,tSNE_1,tSNE_2
example_cell_162,7.811828882,-7.493589768
example_cell_163,18.96634555,-11.68337763
example_cell_164,6.772759045,-12.39717784
example_cell_165,22.66769298,2.534398149
example_cell_166,24.76658624,3.468483535
example_cell_167,-6.812548759,-9.402654966
example_cell_168,5.664017083,-10.25095541
example_cell_169,5.511636527,-7.531598825
example_cell_170,8.55122948,-5.429708696
example_cell_171,10.10702758,-4.627488657
example_cell_172,22.30300982,3.433186783
example_cell_173,4.304648931,-11.65245173
example_cell_174,13.99286295,-18.92159166
example_cell_175,6.272277631,-8.493387822
example_cell_176,26.95458144,2.945580328
example_cell_177,3.592870536,-9.858476838
example_cell_178,3.252870997,-10.64981006
example_cell_179,6.947017549,-10.65711343
example_cell_180,7.924480889,-10.80335419
example_cell_181,5.67850522,-6.819539029
example_cell_182,-3.013151767,-8.943493921
example_cell_183,23.84095204,2.896682134
example_cell_184,7.115158309,-11.11415312
example_cell_185,5.480989999,-11.1925215
example_cell_186,23.77272373,3.015204046
example_cell_187,15.28642113,-19.31356105
example_cell_188,25.99553577,2.661133678
example_cell_189,6.960606181,-9.692313845
example_cell_190,2.645942922,-8.296496603
example_cell_191,-25.07305673,-0.920084737
example_cell_192,9.126447488,-10.07070947
example_cell_193,7.47953322,-6.769591821
example_cell_194,22.7320243,11.44413472
example_cell_195,20.6821635,5.262117983
example_cell_196,2.160802825,-6.973063668
example_cell_197,23.45340301,1.708865784
example_cell_198,4.054197825,-9.580229012
example_cell_199,13.08686514,-12.25382324
example_cell_200,5.862930414,-9.302631429
